post_id,post_text,intent,location
13693213712010962,"1300 מ״ר למכירה ב7622 חלקה 35
 1300 מ״ר למכירה ב7622 חלקה 35",Sell,Unknown
67070188551685542,אשמח לדעתך מה אתם חושבים על השקעה בקרקע חקלאית בדגש על גוש דן ?,Unknown,גוש דן
33951459782602966,"מחפש לרכוש קרקע חקלאית להשקעה בכל ארץ עד 650,000₪
אשמח לקבל הצעות",Sell,Unknown
60197449105832578,"מחפש שטח לבנייה רוויה עד 30 יח״ד
מאיזור דימונה עד אשדוד
תב״ע מאושרת
שאול-050-7657575 ווצאפ",Buy,"דימונה, אשדוד"
76411956541506386,"למכירה 42 מ' בטאבו למגורים בשכונת מורדות לינקולן
אחוזה - חיפה

מחיר הקרקע 535,000 ש״ח

חיסכון ענק במחיר הסופי שתעלה הדירה ( מול דירה מקבילה מיזם )

- יחידת קרקע פרטית

- מאושרת למגורים (לא לבנייה מיידית)

- מקנה זכות לדירת מגורים במסגרת אישור תוכנית חדשה של השכונה (כרגע בועדה המחוזית)

- הסכם שיתוף בתהליך

- רישום מלא בטאבו

השכונה ממוקמת, על צלע ההר ומשקיפה לים. חיבור לצירי התחבורה הראשיים של העיר, בסמיכות למת""ם ולפארק מדעי החיים ובמרחק של דקות נסיעה בודדות ממרכז העיר ומהנמל המתחדש, יאפשרו לדיירי השכונה להנות מכל העולמות.

השכונה תהנה מנוף פתוח לים, ללא גורם מפריע.",Sell,חיפה
15502044175069091,"בגוש 6673 תמל 3006
דונם למכירה לפי 6900 למטר

ניתן לקבל אופציה",Sell,Unknown
33749778527706531,מגרש 117 דונם חקלאי עם יעוד של תחנת דלק ועוד אפשריות צמוד לקיבוץ גניגר 25 מליון שקל,Sell,גניגר
35345205531801416,"ללא תיווך

מגרש פינתי 480 מטר בטבריה המושבה

מיקום מעולה כולל פיתוח בשלבי סיום

מחיר 1.75 לפרטים

0542260947",Sell,טבריה
10261734563498208,"תיווך
למוטי מחיר
קדמת ביאליק
1850 שקל למטר פלוס מע''מ.
המחיר כולל כניסה להסכם שיתוף דומיננטי.
בפרטי בלבד.",Sell,קדמת ביאליק
28705074874690007,"מחפשים שטח של 10 או 20 דונם בגליל או בגולן
מאושר תיירות או בנייה חובה!!
רעיונות מישהו???",Buy,"גליל, בגולן"
58178621117943672,"מחפש קרקע שניתן להשים עליה מערכת סולארית

054-6716160 מאי",Buy,Unknown
48433044597677056,"*למכירה מפרטי – קרקע חקלאית מינהל!*
במיקום מעולה: *כרמי יוסף*

שטח כולל: *290 דונם*
נמכר *כיחידה אחת בלבד*

• קרקע מינהל
• גושים: 4102–4104
• השטח מסומן באדום
• מחיר לדונם: 80,000 ₪",Sell,כרמי יוסף
64612418852835066,"למכירה בגוש 6672
דונם במחיר 7200 שקלים למטר

ניתן לקבל אופציה תמל 3006

ללא הסכם שיתוף",Sell,Unknown
81706578602614134,"1300 מ״ר ב7622
אפשרות למימושים חלקיים
0526512380",Sell,Unknown
93365583698099154,"העסקה האטרקטיבית של השנה
רק 1850 ₪/ למר קרקע בתוכנית ביאליק על הפארק במתחם C המבוקש !!
בין המרכז המסחרי התוסס לשכונות הקיימות, שוכנת קרקע צמודת דופן !!
המחיר כולל הצטרפות להסכם שיתוף מהגדולים במתחם ואת כל העליות הנלוות !!

זו לא קרקע “על הנייר” ולא אדמה רחוקה,
זו קרקע שממש צמודה להתפתחות קיימת,
בתוך תוכנית כוללנית מאושרת.

✔ שמאות לפי תקן 22
✔ קרקע פרטית

היא לא זמינה לבנייה מיידית,
אבל מי שיכנס לעומק, יבין מהר מאוד שזו הנקודה הנכונה ביותר להיכנס !!
@נבחר
Ofer Dadon
עׂז נדלן Oz Real Estate
עׂז משכנתאות - Oz Mashkantaot
עופר דדאון : 050-9438626",Sell,Unknown
84495342941442698,"**המחיר ירד!**

**הזדמנות נדירה במטולה – נחלה של 45.5 דונם!**
**בית משופץ 110 מ""ר** עם זכויות בנייה עד 250 מ""ר: 3 חדרי שינה (כולל ממ""ד), סלון מרווח, 2 שירותים ומקלחת.
**שטחים חקלאיים נוספים** (30 דונם ליד מעיין ברוך + 15 דונם לכיוון משגב עם), גינה ענקית ונוף עוצר נשימה.
**חניה פרטית מקורה** ומזגן בכל הבית.
**מחיר מבוקש:** 4.5 מיליון ₪.
**לפרטים וסיור:** אילנה – 052-9766112
“לובלין נכסים”
Говорю по-русски",Sell,מטולה
68593845780976697,למכירה 300 מטר בחולון בגוש 6022 חלקה 45,Sell,חולון
57497254768779399,"2 דונם צהוב
בתמ״ל 3006
לפרטים
050-7445591",Sell,Unknown
74008203419537813,"רובע הים בחדרה בגוש 10006 - קרקע צהובה ליד הים
100 מ'""ר
ב400.000 ש""ח
עסקה זריזה לרצינים בלבד",Sell,חדרה
90448672483106993,"למבינים ורציניים בלבד!
חצי דונם לבנייה עצמית ביישוב נופים – תכניות מוכנות, בריכה, ובנייה מיידית!

במיקום מבוקש בלב גוש קנה, מוצע למכירה מגרש חצי דונם לבנייה פרטית עם תוכניות אדריכליות מאושרות + בריכה. התכנון עבר תהליך מלא עם אדריכל, מעצבת פנים ,מהנדסים ויועצים – נדרש רק תשלום אגרות לקראת היתר בנייה סופי.

✨ יתרונות בולטים:

מגרש חצי דונם מהבודדים שנשארו.

קהילה מעורבת דתיים חילונים

מתוכנן בריכה פרטית לכל צד

מוכן לבנייה מיידית – חוסך חודשים של תכנון ועלויות

השקעה מושלמת או מגורים למשפחה מורחבת

מחיר מבוקש:1,600,000 ₪

לפרטים : 054-7865445 לא בשבת",Sell,"נופים, גוש קנה"
58886651132252618,"הוד השרון- קרקע צהובה
גוש 6453
125 מ'""ר
470.000₪
עסקה זריזה לרצינים",Sell,הוד השרון
71506108312230858,1300 מ״ר למכירה ב7622 חלקה 35\n1300 מ״ר למכירה ב7622 חלקה 35,Sell,Unknown
45533148579614080,למכירה בבאר יעקב \nקרקע חקלאית ייעוד בניה רויה.\nגוש 4040 המבוקש,Sell,באר יעקב
96550680634952980,"ברשפון גוש 6675 , 500 מטר מכר ללא אופצייה פרטים נוספים בפרטי. (תיווך)",Sell,רשפון
82488397751828656,"ליודעי דבר , הציעו לי 2 דונם חקלאי בגוש 3943 חלקה 23 בראשל״צ , מה המחיר הגון ששווה לשלם לשני דונם ?",Unknown,ראשון לציון
20839499543409643,"""רובע הים בחדרה \nגוש 10008\nחלקה 341 צהובה\nבפרטי",Sell,חדרה
81511251676601131,"**הציבור הרחב מוזמן להגיש הצעות לרכישת זכויות במקרקעין.**\n\n 520 מ\""ר במושע, מתחם B1 בעפולה. \n\nפרטי יצירת קשר מופיעים במודעה. בהצלחה.",Sell,עפולה
96833777409263920,"הקבוצה מיועדת לאנשים שמחפשים למכור,לשכור, להשכיר, לסבלט, לרכוש, קרקעות בלבד או קרקעות עם בית להריסה/מגורים",Unknown,Unknown
52575241736703642,"""למכירה 3 דונם חקלאי בגוש 17033 בכפר תבור, טאבו פרטי מיקום מצוין \n130 אלף שח לדונם.\n\nו3 דונם ביבניאל גוש 15435 חלקה 35 לפי 100,000 שח לדונם \nהמחירים לסגירה.\n0525166714",Sell,כפר תבור
90134666429309133,"💰💰💰💰הורדת מחיר!!!💰💰חייבים למכור!!💰💰
 
 הזדמנות נדירה במחיר מעולה במתחם 2000 ראשלצ !! ✨ללא תיווך!!
 
 ✔️ הולך להתפוצץ בקרוב ולעלות המחירים
 ✔️ 105 מ""ר של פוטנציאל אדיר!
 ✔️ מיקום מנצח - מטרים ספורים בלבד מהים! 🌊
 ✔️ השקעה חכמה ורווחית במיוחד! 📈✔️כולל הסכם שיתוף
 
 אל תפספסו! זו העסקה שתמיד חיפשתם!
 
 צחי כהן 052-2926240",Sell,ראשון לציון
84965574149595998,"למכירה קרקע ב 542 בנתניה\nלמכירה קרקע ב 542 בנתניה\nבמתחם 17. 2.9 יחידות חדשות\n\n🏢 תחום בקומבינציה לשיכון ובינוי אחרי קומבינציה נותנת דירה של 116 מייר \n\n🏢 המחיר כולל השבחה וכולל מיסים \n\n🏢 לא צריך לשלם על הבנייה, מקבלים דירה מוכנה, \n\n🏢 בניין גבוה של 29 קומות \n\n🏢 מח,יר 900000 ₪ ליחידה חדשה\n\n🏢 למידע נוספת תתקשרו אליי 0537984080 \""זמורץ נדלן\"" דניס מתווך",Sell,נתניה
63958118498173601,"למכירה מגרש בישוב הדתי בני דקלים, קהילה צעירה ואיכותית, באווירה פסטורלית בחבל לכיש\n💥 למכירה מגרש עם היתר בניה\n💥 במיקום גבוהה\n💥 יש היתר בניה ותוכניות ביצוע מוכנות\n💥 ממוקם בשלב ב\n💥 במיקום הכי טוב בישוב\n💥 קרוב למרכז הישוב\n💥 עם נוף חלומי!\n\nאם אתם מעוניינים לשמוע הצעה מעניינת מאוד לרכישת המגרש צרו איתי קשר\n0524398258",Sell,בני דקלים
50642229283530226,"אהלן לכולם 🙂\n\nמחפשים זוג שמעוניין להגיש איתנו הצעה בהגרלה הקרובה למילואימניקים ***ברמת ישי*** (מגרש של 2 יח״ד).\n\nחשוב שנהיה ***בדיוק*** באותה קטגוריה:\n\nלוחמ/ת מילואים + בעל/ת משפחה + בלי בעלות על דירה.\n\nאם אתם מתאימים ורוצים לשמוע פרטים (מה המשמעות, איך מתקדמים וכו’), דברו איתי בפרטי.\n\nואם לא - אשמח להעברה לזוג שכן מתאים. תודה! 🙏",Unknown,Unknown
84911383318552774,"מחפשת, לשימוש שלנו, 2 דונם חקלאות.\nלגידול פארמאקאלצ'ר אורגני.\nאזור המרכז / דרום השרון.\n\nלי מלכה ויצמן 0523553514",Buy,השרון
19374538448622356,למכירה 2.5 דונם אזור התעשייה חדרה לקוח קצה בלבד!,Sell,חדרה
10827572055135726,מחפש קרקעות לקנייה גוש 11044,Buy,Unknown
56986823876755659,מחפש לקוח שקונה בניינים בשלמות בתל אביב \nפריים לוקיישין\nלא מי שמחפש תשואה\nלקוח בלבד,Sell,תל אביב
66458601981517435,"למכירה קרקע במתחם 2000 ראשל\""צ מערב צמוד לים",Sell,ראשון לציון
39416570829344210,למכירה בבנימינה חצי דונם קרקע צהובה.,Sell,בנימינה
64160353503439389,למכירה  ברעננה קרקע חקלאית מנהל 10 דונם,Sell,רעננה
93442701994930153,"אנו מציעים לכם להצטרף לפרויקט ייחודי בנווה תמרים! 🌴\n\nמגרשים חקלאיים מצויינים למכירה בהזדמנות שלא תחזור.\n\nנווה תמרים היא מקום מיוחד שמתוכנן להפוך לישוב יוקרתי ואקולוגי. 🌳\n\nהישוב ממוקם במיקום מצוין, מול קיבוץ רביבים.\n\nהמגרשים בגוש 100174, חלקה 3. הם בבעלות טאבו.\n\nלפרטים נוספים, אתם מוזמנים לפנות אל תבל נכסים, בעלי רשיון מספר 397122.\n\n📞 לתיאום פגישה ולקבלת פרטים, אנא התקשרו למספר 0522444954.\n\nהתקדמו לעתיד הירוק שלכם בנווה תמרים! 🍃",Sell,רביבים
73545513679081751,"מחפש קרקע עד 450,000 ש״ח אשמח להצעות",Buy,Unknown
23019404345547202,לבסטלנד ישראל\nדרושים מגרשים בפי גלילות/שדה דב/חוף התכלת-0505367708,Buy,Unknown
98857052636315774,"למכירה בראשל\""צ במתחם 2000 עתודת קרקע אחרונה",Sell,ראשון לציון
25004081613807745,"למכירה קרקע בראשון לציון . \n\nפרטית, 500 מ\""ר לבנית וילה מפוארת \n\nשכונת רביבים\n\n11.500 ש\""ח למטר רבוע",Sell,ראשון לציון
55192732246414970,למכירה קרקע 500 מ''ר גודל 6681\nצמוד לקיבוץ שפיים . \nפרטים בפרטי . 🙏🏾🙏🏾🙏🏾,Sell,שפיים
27775367714224230,"למכירה כ-100 מטרים \n\nגוש 3944 חלקה 28 \n\n4,200 שח למר \n\n054-6716160",Sell,Unknown
21020626373879076,"מחפש קרקע בקרית ביאליק בלבד לא חקלאי
 מחפש קרקע בקרית ביאליק בלבד לא חקלאי",Buy ,קריית ביאליק
44830096530622341,"עקב סיבות אישיות לצערי מוכר קרקע באשדוד 
 
 מחפש עסקה מהירה 
 
 פרטי ללא תיווך
 
 1500 למטר
 
 300 מטר 
 
 שלחו הודעה 
 
 0524822480
 
 גמיש לרציניים",Sell,אשדוד
93094166664013558,"מחפש מ100 מטר עד 130 מטר אדמה שאפשר לבנות בה בית קטן. תקציב זמין 250 אלף שח.
 מחפש מ100 מטר עד 130 מטר אדמה שאפשר לבנות בה בית קטן. תקציב זמין 250 אלף שח.",Buy,Unknown
28414268964951503,"קרקע חקלאי פרטי טבו בכפר יונה יש הסכם שיטוף 250 מטר מחיר טוב 0505924592
 קרקע חקלאי פרטי טבו בכפר יונה יש הסכם שיטוף 250 מטר מחיר טוב 0505924592",Sell,כפר יונה
31697501622140467,מה אתם אומרים על הקרקע בפריימן בראשון לציון מציעים לי ב 2300₪ למטר ואומרים שבתוך התוכנית בניה,Buy,ראשון לציון
37914625429320406,"קרקע חקלאית פרטית בטאבו על כביש 65 
 (כביש טבריה/ עפולה ) אחרי מושב אילניה .
 הקרקע בשטח ענק של 14.5 דונם בשלמות
 עם כביש גישה יעודי .
 בכביש 65 עוברות אלפי מכוניות כל יום 
 והקרבה לכביש מקנה יתרון עצום לשינוי יעוד
 לצורך הקמת גן אירועים ,מרכז מסחרי BIG
 תחנת דלק ועוד .
 • השטח אינו זמין לבניה בשלב זה ולא
  הוגשה בקשה לשינוי יעוד .
 לפרטים וואצאפ בלבד : 050-3066665. 
 אלון גל, PRIME-MAX .",Sell,עפולה
41996739172483189,"בס״ד מגרש לבניית בית פרטי למכירה!
 בס״ד מגרש לבניית בית פרטי למכירה!
 ללא תיווך! 
 בבאר שבע 
 500 מר בשכונת כלניות א. 
 כל האגרות שולמו.
 נשאר רק לעלות לשטח. 
 רחוב99% מאוכלס 
 4 דקות הליכה לבית ספר,בית כנסת וגן ילדים 
 לא קיים מחיר כזה!!!
 לפרטים 
 0533339451 מאיר",Sell,באר שבע
23184399072444195,"שלום לכולם...
 מחפש קרקעות בירושלים/ גבעת זאב ( ** לא מאלייה ** )
 לבנייה רק מול בעלים
 קיימת יכולת כלכלית
 תשאירו טלפון ואחזור אליכם",Buy,"ירושלים, גבעת זאב"
87238141419798328,"גוש 563 חלקה 20 גן יבנה, דעות, מחיר מומלץ למטר, מישהו מעוניין למכור במחיר הגיוני? 
 גוש 563 חלקה 20 גן יבנה, דעות, מחיר מומלץ למטר, מישהו מעוניין למכור במחיר הגיוני?",Buy,גן יבנה
55875183299989488,"למכירה,
 כפר סבא מתחם בן יהודה צפון 
  100 מ""ר , פרטי בטאבו 
 גוש 7595 חלקה 53 
 מקודם ע""י הותמ""ל ודירה להשכיר!
 370,000 שח",Sell,כפר סבא
85408277152560898,"ערב טוב לכולם (44) דונם בישוב בית חורן ... מחיר כל דונם( 200 )אלף שקל
  גוש 25, חלקה מס' 9
 גוש 19, חלקה מס' 3
 גוש 35, חלקה מס' 2
 שטח ""C""",Sell,בית חורן
65268100347362391,"יזמים יקרים - פינוי בינוי בירושלים
 יזמים יקרים - פינוי בינוי בירושלים
 חיפשתם עסקת פינוי בינוי בירושלים שבאמת שווה?
 
 מצאתם!
 
 לפרטים על העסקה בפרטי, תתקשרו עוד היום!
 
 0738010079",Unknown,ירושלים
31013394930439022,"קרקע למכירה בקדמת ביאליק
 לא למתווכים
 מוזמנים לרשום תגובה ואחזור אליכם",Sell,קריית ביאליק
35104051253978966,דעתכם על חברת ״דרך הקרקע״?,Unknown,Unknown
79318275407115850,אשמח לקבל המלצה על חברת שיווק אמינה שאפשר לרכוש ממנה קרקע חקלאית,Buy,Unknown
16776204371113019,"לקוח רציני מחפש לקנות מגרשים חקלאיים
 בשלמות במחירי שוק סבירים באזור ראש פינה - איילת השחר. 
 
 תיווך, רק בוואטסאפ 054-77-55-034.",Buy,"ראש פינה, איילת השחר"